sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,pref1_w,pref1_c,pref1_t,pref2_w,pref2_c,pref2_t,pref3_w,pref3_c,pref3_t,pref4_w,pref4_c,pref4_t,pref5_w,pref5_c,pref5_t,pref6_w,pref6_c,pref6_t,pref7_w,pref7_c,pref7_t,pref8_w,pref8_c,pref8_t,pref9_w,pref9_c,pref9_t,pref10_w,pref10_c,pref10_t,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,Male,Age,Platform
1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,3,4,4,4,4,5,4,4,4,4,5,4,3,4,4,4,4,4,4,4,5,4,4,5,1,2,2,1,2,2,2,1,2,1,1,23,1
0,0,0,1,0,1,0,0,1,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,1,1,1,1,1,1,1,7,1,27,1
1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,4,5,5,5,4,1,5,4,3,5,3,4,5,5,4,5,3,3,4,3,4,3,5,5,5,1,1,1,1,1,1,1,1,1,1,0,31,2
1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,48,2
1,1,1,1,0,1,1,1,1,1,1,1,1,3,4,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,3,1,3,2,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,25,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1,3,2,2,2,4,2,2,3,1,1,1,1,1,1,1,1,2,1,2,3,2,1,3,3,2,3,1,2,1,2,2,2,1,0,39,2
0,0,1,1,1,1,0,1,1,1,3,5,5,2,4,3,4,3,5,2,3,2,4,3,4,2,3,3,1,5,1,2,3,2,3,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,44,1
1,1,1,1,1,1,0,1,1,1,5,5,5,4,5,5,5,2,5,5,5,5,5,3,5,5,5,5,3,5,3,5,3,5,4,5,4,4,1,5,1,1,1,1,1,1,1,1,1,1,0,27,1
1,1,1,1,1,1,1,1,1,1,1,3,3,2,5,5,4,5,4,3,3,1,3,2,5,2,3,3,2,5,5,2,1,2,2,4,4,3,5,3,2,2,2,2,2,2,2,2,2,2,0,39,2
0,0,0,1,1,0,0,1,0,0,3,5,5,1,5,5,3,5,5,3,3,4,5,3,5,1,3,5,1,5,5,1,4,5,2,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,34,2
1,1,1,1,1,1,0,1,0,1,3,3,5,3,2,4,5,5,5,3,3,3,5,5,5,3,4,4,2,5,2,3,4,5,1,4,3,4,5,4,1,1,1,1,2,1,1,1,1,1,0,28,1
1,1,0,1,1,1,0,0,0,0,2,1,5,3,1,5,2,5,4,3,1,3,3,2,4,2,5,4,3,5,5,2,5,5,1,4,1,2,5,4,2,2,5,1,2,3,3,5,3,6,1,28,1
0,1,1,1,1,1,1,1,0,1,1,5,1,1,2,5,1,5,1,1,1,5,1,2,1,1,1,3,1,1,1,2,1,1,1,1,5,2,3,2,2,1,1,1,1,1,1,1,2,1,1,30,1
1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,2,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,45,1
0,1,0,1,1,1,0,1,1,1,2,4,5,1,2,5,3,5,4,2,2,3,3,3,5,2,3,3,2,5,5,2,5,5,1,2,2,2,1,3,3,3,4,2,1,1,2,3,2,2,1,61,1
1,1,1,1,1,1,1,1,1,1,3,5,5,3,5,5,4,5,5,4,3,5,4,3,5,1,5,5,1,5,5,3,5,5,1,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,48,1
1,1,1,1,1,1,1,1,1,1,4,3,4,5,5,5,4,4,5,3,1,4,4,3,4,3,5,5,2,5,2,3,5,4,3,3,4,3,5,4,2,1,2,1,1,2,1,1,2,2,1,41,1
0,0,1,1,0,0,1,1,0,1,3,2,4,4,4,4,4,4,3,3,3,4,2,3,4,4,3,3,5,3,4,4,3,4,3,4,4,3,4,4,6,6,6,4,5,5,5,5,5,4,1,26,1
1,1,0,1,1,1,1,1,1,1,3,5,4,2,2,5,3,5,4,4,2,5,4,4,4,1,3,4,4,5,5,2,4,5,2,5,3,4,3,4,3,1,5,1,2,1,1,2,1,1,1,29,2
0,0,0,1,1,0,0,0,1,1,3,5,5,3,5,4,3,5,5,3,3,4,4,3,5,3,5,4,4,5,5,3,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,29,2
0,0,1,1,1,0,0,1,0,1,2,4,4,1,3,1,4,4,4,1,1,2,3,5,4,1,4,1,2,2,4,2,5,4,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,0,33,1
1,1,1,1,1,0,1,1,1,1,4,5,5,3,5,4,3,5,4,4,2,5,4,5,5,2,5,4,2,5,4,4,5,5,2,1,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,26,2
1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1,5,3,1,1,4,2,1,4,1,1,4,1,5,3,1,2,5,1,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,0,57,2
1,1,1,1,1,1,1,1,1,1,3,5,3,2,2,4,4,4,4,1,1,1,4,4,4,1,4,3,4,4,4,3,3,3,2,3,3,4,2,3,3,3,3,2,2,3,2,2,2,2,0,68,2
0,1,1,1,0,0,1,1,0,0,3,5,4,5,4,4,4,2,5,5,5,4,4,2,4,3,5,5,2,4,2,4,3,5,2,4,5,4,5,3,3,1,2,2,2,2,1,1,1,2,1,20,2
0,0,1,1,1,1,1,0,0,1,1,5,5,2,4,2,4,5,5,4,4,5,3,4,5,1,1,3,4,5,5,2,2,3,1,5,5,3,5,5,2,2,2,2,2,2,2,2,2,2,0,34,2
1,1,0,1,1,1,1,1,1,1,3,3,3,4,3,5,4,4,4,5,2,5,3,3,3,3,4,4,3,2,4,4,1,5,3,2,3,3,3,3,2,1,3,1,2,1,1,1,2,1,0,22,2
1,1,1,1,1,1,1,1,1,1,3,3,5,3,5,5,3,2,5,3,2,5,3,5,5,3,4,5,1,5,1,3,1,5,3,4,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,28,1
1,1,1,1,1,1,1,1,0,1,1,1,1,4,3,1,4,4,4,1,1,1,4,4,1,1,5,3,4,4,4,3,1,4,1,5,5,4,1,3,1,1,1,1,1,1,1,1,1,1,1,44,1
1,1,1,1,1,1,1,1,1,1,3,4,3,1,4,1,4,4,5,3,3,4,3,2,4,2,4,3,3,5,4,2,4,2,2,5,5,3,5,5,4,2,1,2,3,3,1,2,2,3,1,21,2
1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,5,3,5,3,1,1,1,4,3,5,1,2,4,5,5,3,2,4,3,2,3,4,3,5,3,1,1,1,1,1,3,1,2,1,1,1,33,1
0,0,0,1,1,0,0,1,0,0,2,3,5,3,1,5,3,5,4,1,1,1,3,1,5,1,4,5,1,4,4,2,4,5,1,3,1,3,5,5,3,2,2,3,2,3,2,2,3,2,0,43,1
1,0,1,1,1,1,1,1,1,1,2,1,3,1,2,5,3,4,4,1,1,2,2,3,3,1,1,4,1,2,1,1,1,2,1,2,2,1,2,1,1,3,2,1,1,3,2,1,1,1,0,39,3
0,0,0,1,1,0,0,0,1,0,4,5,5,2,5,5,3,5,5,4,4,5,4,4,5,2,5,5,3,5,5,3,5,5,1,4,5,3,5,5,1,1,1,1,1,4,1,1,1,1,0,52,2
1,0,0,1,0,1,0,0,0,1,3,1,3,2,3,5,2,4,3,3,1,4,1,5,1,2,2,4,2,5,3,3,5,4,1,3,1,4,3,3,1,3,1,1,2,2,2,2,1,2,1,29,1
1,1,1,1,1,1,1,1,1,1,4,2,5,2,5,3,4,5,5,4,3,5,4,4,5,3,5,4,4,5,5,3,5,4,3,5,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,23,2
1,1,1,1,1,1,1,1,1,1,4,1,5,5,5,5,3,5,5,4,1,3,2,1,2,3,5,5,5,5,5,5,5,5,3,3,4,5,5,4,1,1,1,1,1,1,1,1,1,1,0,33,1
1,1,1,1,1,0,0,0,0,1,3,1,4,2,2,3,2,4,3,2,1,5,4,4,4,2,4,5,1,5,5,2,5,3,1,3,4,3,2,4,1,1,1,1,1,2,4,2,5,1,0,39,2
1,1,1,1,1,1,1,1,1,1,3,4,4,3,2,4,3,3,4,3,1,4,3,1,4,2,2,3,2,3,3,3,3,4,2,3,2,2,1,2,2,2,2,2,2,3,3,2,3,2,0,59,2
1,1,1,1,1,0,1,1,1,1,4,5,5,5,4,5,4,4,5,5,1,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,3,2,2,2,4,1,3,2,2,0,60,2
1,1,1,0,0,1,0,1,0,1,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,5,5,4,5,5,5,5,5,1,40,1
1,1,1,1,1,1,1,1,1,1,4,2,5,2,3,4,5,5,5,4,2,5,5,3,5,2,4,3,2,4,4,1,4,4,2,4,4,3,4,3,2,3,3,2,2,2,2,3,2,1,0,32,1
1,1,1,1,1,1,1,1,1,1,3,2,5,3,2,5,3,1,4,3,1,4,3,1,5,3,2,4,3,4,5,3,2,5,3,5,4,3,1,3,1,1,1,1,1,1,1,1,1,1,0,38,1
1,0,1,1,1,0,1,1,1,1,3,3,2,5,5,5,5,3,5,3,5,5,2,5,3,2,2,3,2,4,2,4,5,5,3,5,4,2,3,5,1,3,1,3,3,3,1,1,1,1,0,27,2
0,0,0,1,0,1,1,1,1,1,3,4,4,4,5,4,1,5,1,5,5,5,1,3,1,4,1,5,3,3,5,5,3,5,4,5,5,5,3,5,1,1,1,1,1,1,1,1,1,1,0,21,2
1,1,1,1,1,1,1,1,1,1,3,4,5,3,5,4,3,5,5,3,4,5,4,5,5,1,5,4,5,5,5,3,4,4,1,5,5,2,5,2,1,1,1,1,1,1,1,1,1,1,1,38,2
1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,5,5,5,3,1,4,5,4,5,3,1,4,1,3,1,5,2,5,3,5,5,4,4,3,1,2,1,1,1,2,1,1,2,1,0,43,2
1,1,1,1,1,1,1,1,0,1,3,3,4,2,3,3,3,5,5,3,3,3,3,2,4,2,3,4,1,5,3,3,2,5,3,5,4,3,5,3,2,3,1,3,2,3,3,3,2,3,0,31,4
0,1,0,1,0,0,0,0,1,1,5,5,5,4,5,4,4,4,4,5,4,4,4,3,4,4,5,4,3,4,4,4,5,5,5,4,4,4,5,5,6,5,3,6,6,6,6,5,6,4,0,23,1
0,1,1,1,1,1,0,1,1,0,1,1,4,2,2,4,3,3,3,1,2,3,2,3,4,1,2,4,1,2,1,3,2,5,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,2
0,1,1,0,0,1,1,1,1,1,2,5,4,5,1,2,2,1,2,3,4,1,4,5,2,3,2,1,3,2,2,3,2,3,2,1,5,5,1,1,1,1,1,1,1,3,2,2,2,1,0,63,2
1,1,1,0,1,0,0,1,0,1,3,5,5,2,5,3,2,5,5,2,3,4,2,3,4,2,4,5,1,5,4,2,1,3,1,5,4,3,4,3,1,1,1,2,2,1,1,2,3,2,1,50,1
1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,5,2,4,5,1,3,5,1,2,3,1,5,4,1,5,1,4,2,4,1,4,4,1,3,4,1,1,1,1,1,1,1,1,1,1,0,45,2
1,1,1,1,1,1,1,1,1,1,3,3,3,1,5,4,3,3,3,3,3,4,4,4,4,1,4,3,2,3,5,1,3,3,3,3,5,3,2,5,2,2,1,1,1,2,2,2,1,1,1,44,1
1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,2,2,2,3,2,2,2,2,1,30,2
1,1,1,1,1,1,1,1,1,1,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,4,4,5,5,4,5,5,4,5,4,4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,27,1
1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,25,1
1,1,1,1,1,1,1,1,1,1,3,5,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,35,1
1,1,1,1,1,1,1,1,1,1,3,5,3,4,4,4,4,5,5,4,4,4,4,4,5,3,3,5,1,5,1,4,5,5,3,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,0,40,2
0,1,1,1,1,1,1,1,0,1,2,5,5,4,1,5,5,5,5,5,4,5,4,2,5,1,1,1,4,1,5,4,5,5,1,5,5,3,3,4,4,1,3,2,2,2,3,1,5,2,0,25,4
0,0,1,1,1,0,1,1,0,1,1,5,1,1,5,3,4,4,4,1,2,5,2,5,3,1,3,3,1,1,1,1,1,5,1,5,4,1,1,5,1,1,1,1,1,1,1,1,1,1,0,40,1
1,1,1,1,1,1,1,1,1,1,4,4,5,1,2,4,4,5,5,4,1,3,4,4,5,1,4,4,1,5,1,1,5,5,3,4,4,4,2,3,1,2,2,1,2,3,3,3,2,1,0,26,2
0,0,0,1,0,0,1,0,1,0,2,4,3,2,2,3,3,5,4,3,2,4,3,3,5,2,4,4,3,4,4,3,5,3,2,3,4,3,4,4,2,2,2,2,5,2,2,2,2,2,0,36,1
0,1,1,1,1,0,0,1,0,1,1,2,1,2,4,4,3,3,3,2,4,2,4,2,2,1,5,3,1,5,1,2,1,4,1,3,3,2,4,2,1,1,1,1,1,2,3,1,2,1,1,44,1
1,1,1,1,1,1,1,1,1,1,3,5,4,4,5,5,3,4,4,3,2,4,4,3,5,3,5,5,4,5,5,4,5,5,2,3,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,36,2
1,1,0,1,0,0,1,1,0,1,2,1,1,3,1,5,1,3,2,2,1,4,1,5,2,2,4,3,1,1,1,2,2,3,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,33,1
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,24,2
1,1,1,1,1,1,1,1,0,1,4,4,5,4,5,4,3,5,5,4,4,4,4,3,5,3,5,4,4,5,5,5,4,5,1,5,5,3,4,5,1,1,1,1,1,1,1,1,1,1,0,45,1
1,1,1,1,1,1,1,1,1,1,4,4,5,3,3,5,4,5,4,4,2,3,4,3,5,4,5,5,4,5,5,3,5,5,4,3,3,3,5,4,1,1,2,1,1,2,1,1,1,2,1,58,1
1,1,1,1,1,1,1,1,1,1,3,1,5,1,5,5,4,3,5,1,2,1,4,4,5,1,3,3,2,5,2,1,4,4,2,5,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,39,1
1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,5,3,3,4,3,2,3,3,2,4,2,3,4,3,4,4,2,3,3,2,4,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,25,1
1,1,1,1,1,1,1,1,1,1,3,2,4,2,3,3,3,2,4,3,2,4,3,3,5,2,4,3,2,3,3,2,2,4,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,27,1
0,0,0,1,1,0,0,0,0,0,3,5,5,2,4,5,5,5,5,4,2,5,4,3,5,2,4,3,3,5,5,3,4,4,2,5,5,2,5,4,1,5,6,1,2,3,5,2,2,5,1,32,2
0,1,0,1,1,0,0,0,1,1,3,3,4,2,1,3,3,4,1,2,1,1,3,1,4,3,5,3,2,5,3,2,5,4,5,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,0,37,2
0,0,1,1,0,0,0,0,0,0,2,3,3,3,4,4,3,4,4,3,3,4,3,2,4,3,4,4,3,4,4,3,4,3,3,4,4,3,4,3,5,3,3,2,3,5,3,3,3,4,0,34,2
1,1,1,1,1,0,1,1,0,1,5,3,5,3,4,5,5,5,5,3,3,4,5,3,4,4,5,5,2,5,4,3,4,5,1,4,5,4,4,4,1,2,1,2,2,3,2,2,3,2,1,45,1
1,1,1,1,1,1,1,1,1,1,2,4,4,1,1,2,2,4,3,1,2,1,2,2,3,1,1,1,3,1,3,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,27,1
1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,4,4,4,4,3,4,4,4,4,4,5,5,4,4,5,4,3,4,4,1,5,4,4,4,3,2,2,2,2,2,3,3,3,2,1,38,1
1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,4,3,4,3,4,5,3,5,4,4,4,4,5,5,3,5,4,4,3,4,2,3,2,1,1,1,1,1,1,1,1,1,1,0,31,2
0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,1,1,1,1,1,1,4,1,1,1,0,18,2
1,1,1,1,1,0,1,1,1,1,4,4,5,3,5,5,4,5,5,3,1,5,4,4,4,3,5,5,3,5,5,3,5,5,1,1,3,4,3,5,1,7,5,1,1,7,7,4,1,4,0,34,2
1,0,0,1,1,1,0,0,1,1,4,4,5,1,5,4,3,5,4,2,5,5,2,3,5,2,5,5,1,5,5,1,5,4,1,3,5,3,5,5,1,5,1,1,1,3,5,5,3,5,0,31,1
1,1,0,1,1,1,1,1,1,1,2,3,5,4,5,5,4,5,5,3,5,3,3,3,5,4,1,3,2,1,3,4,2,5,3,5,5,2,3,5,1,1,1,1,2,1,1,1,1,1,1,32,1
1,1,1,1,1,1,1,1,1,1,4,4,4,2,3,4,4,4,4,2,3,3,4,4,4,3,4,3,2,5,2,3,3,4,2,3,2,4,1,4,1,1,1,1,1,1,1,1,1,1,0,41,1
0,1,1,1,1,1,1,0,1,0,2,3,3,1,2,4,3,5,5,3,2,5,3,4,5,2,2,5,2,1,2,2,5,4,2,2,5,3,5,4,2,3,3,1,2,3,2,3,3,1,0,23,2
0,0,0,0,0,0,1,1,1,1,2,4,3,1,3,3,3,3,3,3,5,1,1,5,2,3,3,3,1,1,2,1,1,1,3,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,1,21,2
1,0,1,1,1,0,1,1,1,1,4,5,5,3,5,3,4,3,5,3,5,5,4,3,5,1,5,3,3,5,5,3,3,3,3,5,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,60,1
1,1,1,1,1,1,1,1,1,1,3,4,4,3,3,4,3,4,3,3,2,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,53,2
1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,2,5,4,3,2,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,30,2
1,1,1,1,1,1,1,1,0,1,1,2,4,1,1,1,1,3,3,1,1,1,2,4,3,1,2,3,1,5,4,1,5,2,1,4,1,2,5,3,2,2,2,1,3,2,3,3,4,1,0,43,1
1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,3,5,4,5,5,5,2,5,2,2,5,1,5,1,5,1,5,3,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,0,30,1
1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,5,2,4,3,3,1,3,2,3,3,3,3,5,3,5,5,3,5,5,3,2,3,2,4,3,1,1,1,1,1,1,1,1,1,1,1,22,2
1,1,0,1,1,0,0,1,1,0,3,3,5,2,4,3,2,4,4,2,2,3,3,2,4,2,3,2,1,5,2,2,4,3,2,2,4,2,5,3,2,1,1,1,1,1,1,1,1,1,1,53,1
1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,44,2
1,0,1,1,1,1,1,1,1,1,3,3,4,2,4,3,4,4,4,3,2,3,4,2,5,3,3,3,1,5,1,2,4,3,3,1,5,4,1,4,1,3,1,2,3,3,1,1,1,1,1,29,2
1,1,1,1,1,1,1,1,1,0,2,3,4,3,3,4,3,3,4,1,3,1,4,3,4,2,1,2,3,1,5,1,1,2,2,2,4,2,5,3,1,2,2,1,1,2,1,2,1,3,0,27,2
0,0,1,1,1,0,1,1,1,1,3,4,4,2,4,5,4,4,4,3,2,4,4,4,4,1,4,3,3,5,4,2,4,5,2,3,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,36,2
0,1,1,1,1,0,1,0,1,1,2,4,4,2,4,4,3,2,4,3,1,3,4,2,3,1,1,1,2,1,2,2,3,4,3,1,4,4,2,5,5,3,2,1,1,2,2,2,3,1,0,59,2
1,1,0,1,1,1,1,1,1,1,3,4,4,2,3,5,3,4,4,4,3,4,3,1,4,2,4,5,3,5,5,2,4,5,3,4,4,2,4,2,2,2,3,2,1,2,2,2,3,3,1,28,1
1,1,1,1,1,1,1,1,1,1,3,3,2,2,4,3,2,3,3,2,3,4,2,2,3,2,4,4,2,5,3,1,4,3,2,4,4,2,5,4,1,1,1,1,1,1,1,1,1,1,1,28,1
0,0,0,1,1,0,0,1,0,0,2,5,4,2,5,4,3,5,5,3,3,4,3,3,3,2,5,4,2,4,4,2,2,4,2,4,5,2,4,4,3,3,3,3,3,3,3,3,3,3,1,37,1
